ghost name,,Arkadion Polis,,0,AD 0,0,AD 0,;
Egypt,,Arkadiou Ousia,,600,AD 600,699,AD 699,;
Egypt,,Armatoura,,300,AD 300,799,AD 799,;
Egypt,,Harmeieos Emblema,in the territory of 00b Theadelpheia (Batn el-Harit) (2349),163,AD 163,164,AD 164,;
ghost name,,Arnei.os,,0,AD 0,0,AD 0,;
Egypt,,Aro,,600,AD 600,699,AD 699,;
Egypt,,Arotheou Chorion,,591,AD 591,799,AD 799,;
Egypt,,Arou( ),,600,AD 600,799,AD 799,;
Egypt,,Aroueos Kleros,in the territory of 00b Theadelpheia (Batn el-Harit) (2349),248,AD 248,248,AD 248,;
Egypt,,Ennea Arouron,,241,AD 241,241,AD 241,;
Egypt,,Arsaeiou,,1,AD 1,699,AD 699,;
Turkey,Arsinoe,Arsinoe,ca. 5 km east of Nagidos (Bozyazı) (1415),-238,BC 238,450,AD 450,"36.0946973333,33.031246;"
Turkey,,Arsinoe,,-257,BC 257,-220,BC 220,;
Egypt,,Arsinoe,,-259,BC 259,-86,BC 86,;
Egypt,,Arsinoe Dionos,near L00 Alexandria (100),-260,BC 260,-257,BC 257,;
Egypt,,Arsinoe epi tou zeugmatos,,-299,BC 299,325,AD 325,;
Egypt,,Arsinoe kat' Ammoniada,"near 00a Ammonias (144), 00a Sebennytos (2103)",-299,BC 299,799,AD 799,;
